it: 0, grad_norm: 48.620683059516715, cross_entropy: 176.0636222937951
it: 1, grad_norm: 45.871535631217284, cross_entropy: 145.9865151041081
it: 2, grad_norm: 28.465966796360433, cross_entropy: 117.29092955595196
it: 3, grad_norm: 32.09619426658533, cross_entropy: 102.71819839871583
it: 4, grad_norm: 23.35800442334757, cross_entropy: 92.32778673157486
it: 5, grad_norm: 17.657288705591117, cross_entropy: 87.98396584184178
it: 6, grad_norm: 19.752327279581948, cross_entropy: 84.47839627788122
it: 7, grad_norm: 15.179910729600973, cross_entropy: 81.36405857866747
it: 8, grad_norm: 17.236086310067552, cross_entropy: 78.75232746327131
it: 9, grad_norm: 13.401839857330092, cross_entropy: 76.37286174351132
it: 10, grad_norm: 15.386132623190699, cross_entropy: 74.3194193106458
it: 11, grad_norm: 12.060104115671034, cross_entropy: 72.4136221117075
it: 12, grad_norm: 13.974620187125419, cross_entropy: 70.73281024458988
it: 13, grad_norm: 11.009421875872933, cross_entropy: 69.15154029003133
it: 14, grad_norm: 12.85912983230222, cross_entropy: 67.73364800075758
it: 15, grad_norm: 10.168292781190273, cross_entropy: 66.38617625690037
it: 16, grad_norm: 11.944819217536995, cross_entropy: 65.1629303180205
it: 17, grad_norm: 9.474148999254417, cross_entropy: 63.99124717532395
it: 18, grad_norm: 11.183630232400075, cross_entropy: 62.91661724326548
it: 19, grad_norm: 8.894384984767306, cross_entropy: 61.881015267538466
it: 20, grad_norm: 10.534975861077505, cross_entropy: 60.923678170299965
it: 21, grad_norm: 8.396578741896546, cross_entropy: 59.996395834145744
it: 22, grad_norm: 9.977891274215931, cross_entropy: 59.133194120936615
it: 23, grad_norm: 7.968731211011304, cross_entropy: 58.29376874498909
it: 24, grad_norm: 9.489538782253213, cross_entropy: 57.508226709838354
it: 25, grad_norm: 7.59105927566743, cross_entropy: 56.74158271667337
it: 26, grad_norm: 9.06029430277848, cross_entropy: 56.0205943843474
it: 27, grad_norm: 7.254653658027525, cross_entropy: 55.31498807346711
it: 28, grad_norm: 8.68108772303645, cross_entropy: 54.64849143040827
it: 29, grad_norm: 6.955816411599466, cross_entropy: 53.99467954531721
it: 30, grad_norm: 8.336239665806888, cross_entropy: 53.37509087921157
it: 31, grad_norm: 6.68641972351543, cross_entropy: 52.76611430911878
it: 32, grad_norm: 8.026149610627106, cross_entropy: 52.18714711635951
it: 33, grad_norm: 6.439524671474193, cross_entropy: 51.61708007311945
it: 34, grad_norm: 7.746946019412704, cross_entropy: 51.07342242701894
it: 35, grad_norm: 6.216122439947486, cross_entropy: 50.537364440066966
it: 36, grad_norm: 7.4896038871588475, cross_entropy: 50.025038419270786
it: 37, grad_norm: 6.008953654061922, cross_entropy: 49.51916474440023
it: 38, grad_norm: 7.254346801103007, cross_entropy: 49.03450399513544
it: 39, grad_norm: 5.819790145954722, cross_entropy: 48.555465785375326
it: 40, grad_norm: 7.034393852930705, cross_entropy: 48.09573051023212
it: 41, grad_norm: 5.646966453874936, cross_entropy: 47.640885664272595
it: 42, grad_norm: 6.824473012522811, cross_entropy: 47.20378606893509
it: 43, grad_norm: 5.48596425752148, cross_entropy: 46.77103210109843
it: 44, grad_norm: 6.633135902700465, cross_entropy: 46.35438473632503
it: 45, grad_norm: 5.332296784981316, cross_entropy: 45.94147612446486
it: 46, grad_norm: 6.456100882426218, cross_entropy: 45.54316876230527
it: 47, grad_norm: 5.190748879191105, cross_entropy: 45.14827442344524
it: 48, grad_norm: 6.288987247632875, cross_entropy: 44.76692734792149
it: 49, grad_norm: 5.057190266446343, cross_entropy: 44.38857837051063
it: 50, grad_norm: 6.132334074335441, cross_entropy: 44.02276064726139
it: 51, grad_norm: 4.930516299077321, cross_entropy: 43.65960569229094
it: 52, grad_norm: 5.985349859290632, cross_entropy: 43.308044505150946
it: 53, grad_norm: 4.810445203952705, cross_entropy: 42.95888667617244
it: 54, grad_norm: 5.84707818205229, cross_entropy: 42.62049341659467
it: 55, grad_norm: 4.698280947574256, cross_entropy: 42.284277441382805
it: 56, grad_norm: 5.712814129032956, cross_entropy: 41.958231932683795
it: 57, grad_norm: 4.590160468996234, cross_entropy: 41.63417862247462
it: 58, grad_norm: 5.588056679535014, cross_entropy: 41.31951371232273
it: 59, grad_norm: 4.48842464025283, cross_entropy: 41.00669121081321
it: 60, grad_norm: 5.466388949857553, cross_entropy: 40.7027453055327
