it: 0, grad_norm: 51.05378134990307, cross_entropy: 172.08984911475125
it: 1, grad_norm: 51.02371234075749, cross_entropy: 172.06379190601038
it: 2, grad_norm: 50.99368308974451, cross_entropy: 172.0377653762957
it: 3, grad_norm: 50.96369356190981, cross_entropy: 172.01176946700278
it: 4, grad_norm: 50.93374372226325, cross_entropy: 171.98580411963454
it: 5, grad_norm: 50.90383353577894, cross_entropy: 171.959869275801
it: 6, grad_norm: 50.87396296739561, cross_entropy: 171.933964877219
it: 7, grad_norm: 50.84413198201674, cross_entropy: 171.9080908657123
it: 8, grad_norm: 50.814340544510905, cross_entropy: 171.8822471832113
it: 9, grad_norm: 50.78458861971204, cross_entropy: 171.85643377175285
it: 10, grad_norm: 50.75487617241955, cross_entropy: 171.8306505734802
it: 11, grad_norm: 50.72520316739866, cross_entropy: 171.8048975306429
it: 12, grad_norm: 50.69556956938067, cross_entropy: 171.7791745855965
it: 13, grad_norm: 50.6659753430631, cross_entropy: 171.75348168080257
it: 14, grad_norm: 50.63642045311004, cross_entropy: 171.72781875882842
it: 15, grad_norm: 50.60690486415237, cross_entropy: 171.70218576234703
it: 16, grad_norm: 50.577428540787885, cross_entropy: 171.67658263413693
it: 17, grad_norm: 50.54799144758172, cross_entropy: 171.651009317082
it: 18, grad_norm: 50.51859354906647, cross_entropy: 171.6254657541714
it: 19, grad_norm: 50.489234809742456, cross_entropy: 171.59995188849928
it: 20, grad_norm: 50.45991519407794, cross_entropy: 171.5744676632648
it: 21, grad_norm: 50.43063466650946, cross_entropy: 171.54901302177197
it: 22, grad_norm: 50.40139319144193, cross_entropy: 171.52358790742937
it: 23, grad_norm: 50.37219073324895, cross_entropy: 171.49819226375013
it: 24, grad_norm: 50.34302725627312, cross_entropy: 171.47282603435173
it: 25, grad_norm: 50.31390272482609, cross_entropy: 171.44748916295595
it: 26, grad_norm: 50.28481710318894, cross_entropy: 171.42218159338864
it: 27, grad_norm: 50.255770355612434, cross_entropy: 171.3969032695795
it: 28, grad_norm: 50.22676244631709, cross_entropy: 171.3716541355621
it: 29, grad_norm: 50.19779333949359, cross_entropy: 171.34643413547366
it: 30, grad_norm: 50.168862999302945, cross_entropy: 171.32124321355494
it: 31, grad_norm: 50.13997138987671, cross_entropy: 171.29608131415
it: 32, grad_norm: 50.111118475317205, cross_entropy: 171.2709483817062
it: 33, grad_norm: 50.08230421969785, cross_entropy: 171.24584436077396
it: 34, grad_norm: 50.05352858706326, cross_entropy: 171.22076919600656
it: 35, grad_norm: 50.02479154142953, cross_entropy: 171.1957228321602
it: 36, grad_norm: 49.99609304678454, cross_entropy: 171.17070521409357
it: 37, grad_norm: 49.96743306708803, cross_entropy: 171.14571628676808
it: 38, grad_norm: 49.93881156627198, cross_entropy: 171.12075599524735
it: 39, grad_norm: 49.91022850824078, cross_entropy: 171.09582428469724
it: 40, grad_norm: 49.88168385687139, cross_entropy: 171.07092110038565
it: 41, grad_norm: 49.853177576013685, cross_entropy: 171.0460463876825
it: 42, grad_norm: 49.824709629490606, cross_entropy: 171.02120009205947
it: 43, grad_norm: 49.79627998109842, cross_entropy: 170.99638215908988
it: 44, grad_norm: 49.767888594606916, cross_entropy: 170.97159253444846
it: 45, grad_norm: 49.73953543375967, cross_entropy: 170.94683116391144
it: 46, grad_norm: 49.711220462274184, cross_entropy: 170.92209799335615
it: 47, grad_norm: 49.68294364384226, cross_entropy: 170.897392968761
it: 48, grad_norm: 49.65470494213008, cross_entropy: 170.87271603620542
it: 49, grad_norm: 49.62650432077853, cross_entropy: 170.84806714186948
it: 50, grad_norm: 49.598341743403324, cross_entropy: 170.82344623203397
it: 51, grad_norm: 49.570217173595296, cross_entropy: 170.79885325308015
it: 52, grad_norm: 49.54213057492064, cross_entropy: 170.7742881514896
it: 53, grad_norm: 49.514081910921064, cross_entropy: 170.7497508738441
it: 54, grad_norm: 49.486071145114025, cross_entropy: 170.72524136682563
it: 55, grad_norm: 49.458098240993024, cross_entropy: 170.70075957721582
it: 56, grad_norm: 49.43016316202772, cross_entropy: 170.6763054518963
it: 57, grad_norm: 49.40226587166419, cross_entropy: 170.6518789378482
it: 58, grad_norm: 49.37440633332519, cross_entropy: 170.62747998215212
it: 59, grad_norm: 49.34658451041032, cross_entropy: 170.6031085319881
it: 60, grad_norm: 49.31880036629624, cross_entropy: 170.57876453463533
it: 61, grad_norm: 49.2910538643369, cross_entropy: 170.55444793747196
it: 62, grad_norm: 49.26334496786381, cross_entropy: 170.53015868797513
it: 63, grad_norm: 49.23567364018616, cross_entropy: 170.50589673372076
it: 64, grad_norm: 49.20803984459107, cross_entropy: 170.4816620223833
it: 65, grad_norm: 49.18044354434383, cross_entropy: 170.4574545017357
it: 66, grad_norm: 49.1528847026881, cross_entropy: 170.4332741196493
it: 67, grad_norm: 49.125363282846145, cross_entropy: 170.40912082409352
it: 68, grad_norm: 49.097879248018955, cross_entropy: 170.38499456313588
it: 69, grad_norm: 49.07043256138661, cross_entropy: 170.36089528494182
it: 70, grad_norm: 49.043023186108336, cross_entropy: 170.33682293777443
it: 71, grad_norm: 49.01565108532281, cross_entropy: 170.3127774699945
it: 72, grad_norm: 48.98831622214838, cross_entropy: 170.28875883006026
it: 73, grad_norm: 48.96101855968318, cross_entropy: 170.2647669665272
it: 74, grad_norm: 48.93375806100547, cross_entropy: 170.24080182804803
it: 75, grad_norm: 48.90653468917371, cross_entropy: 170.2168633633725
it: 76, grad_norm: 48.87934840722689, cross_entropy: 170.1929515213472
it: 77, grad_norm: 48.852199178184684, cross_entropy: 170.16906625091553
it: 78, grad_norm: 48.82508696504761, cross_entropy: 170.1452075011174
it: 79, grad_norm: 48.798011730797285, cross_entropy: 170.12137522108924
it: 80, grad_norm: 48.77097343839671, cross_entropy: 170.0975693600637
it: 81, grad_norm: 48.743972050790305, cross_entropy: 170.07378986736967
it: 82, grad_norm: 48.717007530904226, cross_entropy: 170.0500366924321
it: 83, grad_norm: 48.69007984164661, cross_entropy: 170.02630978477168
it: 84, grad_norm: 48.66318894590762, cross_entropy: 170.00260909400498
it: 85, grad_norm: 48.636334806559844, cross_entropy: 169.97893456984403
it: 86, grad_norm: 48.60951738645835, cross_entropy: 169.95528616209637
it: 87, grad_norm: 48.582736648440914, cross_entropy: 169.93166382066485
it: 88, grad_norm: 48.5559925553283, cross_entropy: 169.90806749554744
it: 89, grad_norm: 48.52928506992438, cross_entropy: 169.88449713683713
it: 90, grad_norm: 48.502614155016396, cross_entropy: 169.8609526947218
it: 91, grad_norm: 48.47597977337505, cross_entropy: 169.83743411948404
it: 92, grad_norm: 48.44938188775491, cross_entropy: 169.813941361501
it: 93, grad_norm: 48.42282046089434, cross_entropy: 169.79047437124427
it: 94, grad_norm: 48.39629545551597, cross_entropy: 169.76703309927981
it: 95, grad_norm: 48.36980683432668, cross_entropy: 169.74361749626763
it: 96, grad_norm: 48.34335456001791, cross_entropy: 169.72022751296177
it: 97, grad_norm: 48.31693859526585, cross_entropy: 169.69686310021015
it: 98, grad_norm: 48.2905589027316, cross_entropy: 169.67352420895446
it: 99, grad_norm: 48.264215445061375, cross_entropy: 169.6502107902299
it: 100, grad_norm: 48.23790818488669, cross_entropy: 169.62692279516506
it: 101, grad_norm: 48.21163708482468, cross_entropy: 169.6036601749819
it: 102, grad_norm: 48.18540210747808, cross_entropy: 169.5804228809955
it: 103, grad_norm: 48.159203215435554, cross_entropy: 169.55721086461398
it: 104, grad_norm: 48.13304037127191, cross_entropy: 169.53402407733824
it: 105, grad_norm: 48.106913537548195, cross_entropy: 169.51086247076194
it: 106, grad_norm: 48.080822676811984, cross_entropy: 169.4877259965713
it: 107, grad_norm: 48.0547677515975, cross_entropy: 169.46461460654498
it: 108, grad_norm: 48.02874872442586, cross_entropy: 169.44152825255398
it: 109, grad_norm: 48.00276555780519, cross_entropy: 169.4184668865613
it: 110, grad_norm: 47.97681821423094, cross_entropy: 169.39543046062207
it: 111, grad_norm: 47.95090665618596, cross_entropy: 169.37241892688323
it: 112, grad_norm: 47.92503084614072, cross_entropy: 169.34943223758344
it: 113, grad_norm: 47.89919074655354, cross_entropy: 169.32647034505297
it: 114, grad_norm: 47.87338631987072, cross_entropy: 169.3035332017134
it: 115, grad_norm: 47.847617528526804, cross_entropy: 169.28062076007777
it: 116, grad_norm: 47.821884334944684, cross_entropy: 169.2577329727501
it: 117, grad_norm: 47.79618670153582, cross_entropy: 169.2348697924255
it: 118, grad_norm: 47.77052459070042, cross_entropy: 169.21203117188998
it: 119, grad_norm: 47.74489796482771, cross_entropy: 169.1892170640201
it: 120, grad_norm: 47.71930678629598, cross_entropy: 169.1664274217832
it: 121, grad_norm: 47.693751017472835, cross_entropy: 169.14366219823688
