it: 0, grad_norm: 0.0909463919876071, cross_entropy: 158.19346383463903
it: 1, grad_norm: 0.09094638553714084, cross_entropy: 158.19345678338505
it: 2, grad_norm: 0.09094637738221178, cross_entropy: 158.19344786891494
it: 3, grad_norm: 0.09094636675515819, cross_entropy: 158.19343625206616
it: 4, grad_norm: 0.09094635944043422, cross_entropy: 158.19342825605196
it: 5, grad_norm: 0.0909463381896128, cross_entropy: 158.19340502593224
it: 6, grad_norm: 0.09094633046092855, cross_entropy: 158.19339657739357
it: 7, grad_norm: 0.09094630952951843, cross_entropy: 158.19337369641278
it: 8, grad_norm: 0.09094628534850938, cross_entropy: 158.1933472631439
it: 9, grad_norm: 0.09094627429998087, cross_entropy: 158.1933351855271
it: 10, grad_norm: 0.09094626406766504, cross_entropy: 158.19332400014304
it: 11, grad_norm: 0.09094624709895283, cross_entropy: 158.1933054509082
it: 12, grad_norm: 0.09094623730682157, cross_entropy: 158.19329474669905
it: 13, grad_norm: 0.09094621938201254, cross_entropy: 158.1932751522959
it: 14, grad_norm: 0.09094620081176928, cross_entropy: 158.19325485232767
it: 15, grad_norm: 0.09094619061286198, cross_entropy: 158.19324370343665
it: 16, grad_norm: 0.09094617351244175, cross_entropy: 158.1932250101799
it: 17, grad_norm: 0.09094615240532498, cross_entropy: 158.1932019370057
it: 18, grad_norm: 0.09094613535296824, cross_entropy: 158.19318329626557
it: 19, grad_norm: 0.09094612493840493, cross_entropy: 158.1931719116061
it: 20, grad_norm: 0.0909461125035446, cross_entropy: 158.19315831845802
it: 21, grad_norm: 0.09094610601135697, cross_entropy: 158.19315122153014
it: 22, grad_norm: 0.09094609737889613, cross_entropy: 158.19314178496347
it: 23, grad_norm: 0.09094608152289545, cross_entropy: 158.1931244519849
it: 24, grad_norm: 0.09094607136620274, cross_entropy: 158.1931133491961
it: 25, grad_norm: 0.09094606365460244, cross_entropy: 158.19310491925717
it: 26, grad_norm: 0.09094605471322838, cross_entropy: 158.19309514498798
it: 27, grad_norm: 0.09094604521971741, cross_entropy: 158.19308476714684
it: 28, grad_norm: 0.0909460272197631, cross_entropy: 158.19306509047226
it: 29, grad_norm: 0.09094600980242838, cross_entropy: 158.19304605067768
it: 30, grad_norm: 0.0909459934501605, cross_entropy: 158.1930281751526
it: 31, grad_norm: 0.09094598178174011, cross_entropy: 158.19301541978092
it: 32, grad_norm: 0.09094595988494229, cross_entropy: 158.1929914832155
it: 33, grad_norm: 0.09094593670139949, cross_entropy: 158.1929661400216
it: 34, grad_norm: 0.09094592548774112, cross_entropy: 158.1929538817512
it: 35, grad_norm: 0.0909459149061378, cross_entropy: 158.19294231441071
it: 36, grad_norm: 0.09094590585059663, cross_entropy: 158.1929324152904
it: 37, grad_norm: 0.09094588310669025, cross_entropy: 158.19290755264194
it: 38, grad_norm: 0.09094587080469212, cross_entropy: 158.19289410462284
it: 39, grad_norm: 0.09094585474638811, cross_entropy: 158.1928765503635
it: 40, grad_norm: 0.0909458321517921, cross_entropy: 158.19285185089223
it: 41, grad_norm: 0.09094582450278561, cross_entropy: 158.19284348931072
it: 42, grad_norm: 0.09094581411299553, cross_entropy: 158.1928321316136
it: 43, grad_norm: 0.09094580425407435, cross_entropy: 158.19282135423705
it: 44, grad_norm: 0.09094577859010494, cross_entropy: 158.19279329940713
it: 45, grad_norm: 0.09094576829888124, cross_entropy: 158.19278204944143
it: 46, grad_norm: 0.09094575837302407, cross_entropy: 158.19277119887656
it: 47, grad_norm: 0.09094574853402551, cross_entropy: 158.19276044325872
